route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
322,20.0,20.0,1,1575,1
322,20.0,22.5,2,525,1
322,20.0,25.0,3,0,0
322,20.0,27.5,4,0,0
322,20.0,30.0,5,0,0
322,20.0,32.5,6,0,0
322,20.0,35.0,7,0,0
322,20.0,37.5,8,0,0
322,20.0,40.0,9,0,0
322,20.0,42.5,10,0,0
322,20.0,45.0,11,0,0
322,20.0,47.5,12,0,0
322,20.0,50.0,13,0,0
322,22.5,22.5,1,13525,1
322,22.5,25.0,2,0,0
322,22.5,27.5,3,0,0
322,22.5,30.0,4,0,0
322,22.5,32.5,5,0,0
322,22.5,35.0,6,0,0
322,22.5,37.5,7,0,0
322,22.5,40.0,8,0,0
322,22.5,42.5,9,0,0
322,22.5,45.0,10,0,0
322,22.5,47.5,11,0,0
322,22.5,50.0,12,0,0
322,25.0,25.0,1,16212,1
322,25.0,27.5,2,0,0
322,25.0,30.0,3,0,0
322,25.0,32.5,4,0,0
322,25.0,35.0,5,0,0
322,25.0,37.5,6,0,0
322,25.0,40.0,7,0,0
322,25.0,42.5,8,0,0
322,25.0,45.0,9,0,0
322,25.0,47.5,10,0,0
322,25.0,50.0,11,0,0
322,27.5,27.5,1,5603,1
322,27.5,30.0,2,147,1
322,27.5,32.5,3,63,1
322,27.5,35.0,4,0,0
322,27.5,37.5,5,0,0
322,27.5,40.0,6,0,0
322,27.5,42.5,7,0,0
322,27.5,45.0,8,0,0
322,27.5,47.5,9,0,0
322,27.5,50.0,10,0,0
322,30.0,30.0,1,147,1
322,30.0,32.5,2,63,1
322,30.0,35.0,3,0,0
322,30.0,37.5,4,0,0
322,30.0,40.0,5,0,0
322,30.0,42.5,6,0,0
322,30.0,45.0,7,0,0
322,30.0,47.5,8,0,0
322,30.0,50.0,9,0,0
322,32.5,32.5,1,1257,1
322,32.5,35.0,2,0,0
322,32.5,37.5,3,0,0
322,32.5,40.0,4,0,0
322,32.5,42.5,5,0,0
322,32.5,45.0,6,0,0
322,32.5,47.5,7,0,0
322,32.5,50.0,8,0,0
322,35.0,35.0,1,9933,1
322,35.0,37.5,2,819,1
322,35.0,40.0,3,63,1
322,35.0,42.5,4,63,1
322,35.0,45.0,5,63,1
322,35.0,47.5,6,63,1
322,35.0,50.0,7,63,1
322,37.5,37.5,1,819,1
322,37.5,40.0,2,63,1
322,37.5,42.5,3,63,1
322,37.5,45.0,4,63,1
322,37.5,47.5,5,63,1
322,37.5,50.0,6,63,1
322,40.0,40.0,1,63,1
322,40.0,42.5,2,63,1
322,40.0,45.0,3,63,1
322,40.0,47.5,4,63,1
322,40.0,50.0,5,63,1
322,42.5,42.5,1,2101,1
322,42.5,45.0,2,2101,1
322,42.5,47.5,3,2101,1
322,42.5,50.0,4,2101,1
322,45.0,45.0,1,9537,1
322,45.0,47.5,2,9537,1
322,45.0,50.0,3,9537,1
322,47.5,47.5,1,22905,1
322,47.5,50.0,2,22905,1
322,50.0,50.0,1,41991,1
