route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
311,20.0,20.0,1,3075,1
311,20.0,22.5,2,0,0
311,20.0,25.0,3,0,0
311,20.0,27.5,4,0,0
311,20.0,30.0,5,0,0
311,20.0,32.5,6,0,0
311,20.0,35.0,7,0,0
311,20.0,37.5,8,0,0
311,20.0,40.0,9,0,0
311,20.0,42.5,10,0,0
311,20.0,45.0,11,0,0
311,20.0,47.5,12,0,0
311,20.0,50.0,13,0,0
311,22.5,22.5,1,2640,1
311,22.5,25.0,2,0,0
311,22.5,27.5,3,0,0
311,22.5,30.0,4,0,0
311,22.5,32.5,5,0,0
311,22.5,35.0,6,0,0
311,22.5,37.5,7,0,0
311,22.5,40.0,8,0,0
311,22.5,42.5,9,0,0
311,22.5,45.0,10,0,0
311,22.5,47.5,11,0,0
311,22.5,50.0,12,0,0
311,25.0,25.0,1,4851,1
311,25.0,27.5,2,1389,1
311,25.0,30.0,3,1389,1
311,25.0,32.5,4,1389,1
311,25.0,35.0,5,1389,1
311,25.0,37.5,6,0,0
311,25.0,40.0,7,0,0
311,25.0,42.5,8,0,0
311,25.0,45.0,9,0,0
311,25.0,47.5,10,0,0
311,25.0,50.0,11,0,0
311,27.5,27.5,1,1749,1
311,27.5,30.0,2,1749,1
311,27.5,32.5,3,1749,1
311,27.5,35.0,4,1749,1
311,27.5,37.5,5,0,0
311,27.5,40.0,6,0,0
311,27.5,42.5,7,0,0
311,27.5,45.0,8,0,0
311,27.5,47.5,9,0,0
311,27.5,50.0,10,0,0
311,30.0,30.0,1,15559,1
311,30.0,32.5,2,15559,1
311,30.0,35.0,3,15559,1
311,30.0,37.5,4,0,0
311,30.0,40.0,5,0,0
311,30.0,42.5,6,0,0
311,30.0,45.0,7,0,0
311,30.0,47.5,8,0,0
311,30.0,50.0,9,0,0
311,32.5,32.5,1,35693,1
311,32.5,35.0,2,35693,1
311,32.5,37.5,3,0,0
311,32.5,40.0,4,0,0
311,32.5,42.5,5,0,0
311,32.5,45.0,6,0,0
311,32.5,47.5,7,0,0
311,32.5,50.0,8,0,0
311,35.0,35.0,1,64225,1
311,35.0,37.5,2,0,0
311,35.0,40.0,3,0,0
311,35.0,42.5,4,0,0
311,35.0,45.0,5,0,0
311,35.0,47.5,6,0,0
311,35.0,50.0,7,0,0
311,37.5,37.5,1,17061,1
311,37.5,40.0,2,15609,1
311,37.5,42.5,3,0,0
311,37.5,45.0,4,0,0
311,37.5,47.5,5,0,0
311,37.5,50.0,6,0,0
311,40.0,40.0,1,26445,1
311,40.0,42.5,2,0,0
311,40.0,45.0,3,0,0
311,40.0,47.5,4,0,0
311,40.0,50.0,5,0,0
311,42.5,42.5,1,12654,1
311,42.5,45.0,2,8562,1
311,42.5,47.5,3,6516,1
311,42.5,50.0,4,5226,1
311,45.0,45.0,1,14025,1
311,45.0,47.5,2,11081,1
311,45.0,50.0,3,9093,1
311,47.5,47.5,1,16433,1
311,47.5,50.0,2,13697,1
311,50.0,50.0,1,21681,1
