route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
323,20.0,20.0,1,3075,1
323,20.0,22.5,2,0,0
323,20.0,25.0,3,0,0
323,20.0,27.5,4,0,0
323,20.0,30.0,5,0,0
323,20.0,32.5,6,0,0
323,20.0,35.0,7,0,0
323,20.0,37.5,8,0,0
323,20.0,40.0,9,0,0
323,20.0,42.5,10,0,0
323,20.0,45.0,11,0,0
323,20.0,47.5,12,0,0
323,20.0,50.0,13,0,0
323,22.5,22.5,1,5313,1
323,22.5,25.0,2,4721,1
323,22.5,27.5,3,0,0
323,22.5,30.0,4,0,0
323,22.5,32.5,5,0,0
323,22.5,35.0,6,0,0
323,22.5,37.5,7,0,0
323,22.5,40.0,8,0,0
323,22.5,42.5,9,0,0
323,22.5,45.0,10,0,0
323,22.5,47.5,11,0,0
323,22.5,50.0,12,0,0
323,25.0,25.0,1,21871,1
323,25.0,27.5,2,0,0
323,25.0,30.0,3,0,0
323,25.0,32.5,4,0,0
323,25.0,35.0,5,0,0
323,25.0,37.5,6,0,0
323,25.0,40.0,7,0,0
323,25.0,42.5,8,0,0
323,25.0,45.0,9,0,0
323,25.0,47.5,10,0,0
323,25.0,50.0,11,0,0
323,27.5,27.5,1,13545,1
323,27.5,30.0,2,0,0
323,27.5,32.5,3,0,0
323,27.5,35.0,4,0,0
323,27.5,37.5,5,0,0
323,27.5,40.0,6,0,0
323,27.5,42.5,7,0,0
323,27.5,45.0,8,0,0
323,27.5,47.5,9,0,0
323,27.5,50.0,10,0,0
323,30.0,30.0,1,8433,1
323,30.0,32.5,2,2283,1
323,30.0,35.0,3,0,0
323,30.0,37.5,4,0,0
323,30.0,40.0,5,0,0
323,30.0,42.5,6,0,0
323,30.0,45.0,7,0,0
323,30.0,47.5,8,0,0
323,30.0,50.0,9,0,0
323,32.5,32.5,1,9367,1
323,32.5,35.0,2,0,0
323,32.5,37.5,3,0,0
323,32.5,40.0,4,0,0
323,32.5,42.5,5,0,0
323,32.5,45.0,6,0,0
323,32.5,47.5,7,0,0
323,32.5,50.0,8,0,0
323,35.0,35.0,1,154,1
323,35.0,37.5,2,56,1
323,35.0,40.0,3,0,0
323,35.0,42.5,4,0,0
323,35.0,45.0,5,0,0
323,35.0,47.5,6,0,0
323,35.0,50.0,7,0,0
323,37.5,37.5,1,5049,1
323,37.5,40.0,2,128,1
323,37.5,42.5,3,0,0
323,37.5,45.0,4,0,0
323,37.5,47.5,5,0,0
323,37.5,50.0,6,0,0
323,40.0,40.0,1,36485,1
323,40.0,42.5,2,9675,1
323,40.0,45.0,3,2541,1
323,40.0,47.5,4,945,1
323,40.0,50.0,5,945,1
323,42.5,42.5,1,9675,1
323,42.5,45.0,2,2541,1
323,42.5,47.5,3,945,1
323,42.5,50.0,4,945,1
323,45.0,45.0,1,2541,1
323,45.0,47.5,2,945,1
323,45.0,50.0,3,945,1
323,47.5,47.5,1,1085,1
323,47.5,50.0,2,1085,1
323,50.0,50.0,1,7951,1
