scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_veh_mean,flow_veh_std
no01,2022/10/18 06:30:00,0630,27.978011857287424,0.4103519088764271,168852.069,4863.2360058546465,7878.25,136.68206481504905
no01,2022/10/18 06:45:00,0645,25.99424472165102,0.39955497270784257,214480.038,5541.2876235654885,9014.35,141.5750777205472
no01,2022/10/18 07:00:00,0700,27.89119639404724,0.36879663890000947,200800.03149999998,4144.812353633692,8914.55,137.19270925848852
no01,2022/10/18 07:15:00,0715,27.497713071947782,0.306969298691134,243437.76349999997,4200.305950126254,10567.65,123.1555605941654
no01,2022/10/18 07:30:00,0730,25.828390742851745,0.6888802201080848,277381.7155,8746.13984894838,11369.95,121.69438641207127
no01,2022/10/18 07:45:00,0745,26.148481538648433,0.5874391740653835,269443.58650000003,8906.091277156613,11672.5,155.76382256818374
no01,2022/10/18 08:00:00,0800,24.670500427234934,0.5472855426610088,310987.311,9279.006318513282,12325.5,150.16359499944656
no01,2022/10/18 08:15:00,0815,25.026142986986308,0.8654859586164602,308618.06950000004,12329.216325939584,12144.1,101.78299930424686
no01,2022/10/18 08:30:00,0830,24.715964289684795,0.45688240273295655,321089.284,7531.643744964099,12848.3,161.82710071652357
no01,2022/10/18 08:45:00,0845,24.97395473782364,0.7792802673514586,299283.983,11061.733431940322,11727.35,137.17575165496703
no01,2022/10/18 09:00:00,0900,26.299431847962996,0.5694660327860998,260033.3605,7891.145454798301,10503.05,114.16952999354687
no01,2022/10/18 09:15:00,0915,27.36946628566052,0.6620731250436972,223776.26,6635.459610785702,9911.05,93.26333684787393
no01,2022/10/18 09:30:00,0930,27.00184659847083,0.880444189644989,240928.35499999998,7692.634119123993,10392.75,121.83114933122975
no01,2022/10/18 09:45:00,0945,28.087424990816366,0.3714993228735586,223467.984,3965.8482516811046,9945.15,111.84024085133349
no01,2022/10/18 10:00:00,1000,25.938735434408464,1.019656646133807,255688.5735,9673.992294334048,10701.1,112.22294539747298
no01,2022/10/18 10:15:00,1015,25.32695510003898,1.0820556412119418,247819.78999999998,12360.462445815308,9738.05,116.4562149479367
no01,2022/10/18 10:30:00,1030,28.286627929353756,0.5348478527736127,211094.398,6316.513106003307,9339.1,114.58846272410528
no01,2022/10/18 10:45:00,1045,29.09769392036417,0.19687080093776907,201471.8685,2054.5498331322883,9127.6,61.42466502704107
no01,2022/10/18 11:00:00,1100,27.619376165852053,0.25494112853070233,226894.59500000003,3488.6046029345,9893.5,101.49695354515502
no01,2022/10/18 11:15:00,1115,27.24474771484271,0.45083337688478914,235523.115,6327.501432846013,10394.7,158.07563146531433
no01,2022/10/18 11:30:00,1130,28.216307605812297,0.33554865513477083,208181.4105,4255.807397773284,9283.45,109.9006608859016
no01,2022/10/18 11:45:00,1145,28.660603706950734,0.25069367735972253,212340.26549999998,4194.805748470949,9373.5,136.8154731169338
no01,2022/10/18 12:00:00,1200,28.053573711697236,0.3913072019423061,220763.46749999997,5111.251769307721,9790.45,112.9925358503596
no01,2022/10/18 12:15:00,1215,28.298903622560953,0.43436765515372555,227282.9295,4945.681698429847,9943.45,116.53031003946896
no01,2022/10/18 12:30:00,1230,27.954465716092137,0.394254800296821,213596.16150000002,5330.760450360643,9703.95,137.24295591165472
no01,2022/10/18 12:45:00,1245,29.028820441681507,0.27343345499619703,211960.1415,4267.928134567683,9474.3,127.99510681436661
no01,2022/10/18 13:00:00,1300,28.713451230958555,0.3442126941244184,219159.1355,4921.259687395484,9685.65,110.68555508856235
no01,2022/10/18 13:15:00,1315,29.01096801033437,0.34577056280287277,206166.423,5751.667060427005,9138.3,147.15730931289323
no01,2022/10/18 13:30:00,1330,28.38842029180871,0.23312503292736886,205025.75,4601.334106136464,9186.3,142.82307789341115
no01,2022/10/18 13:45:00,1345,28.552489513127313,0.2607703580708761,185852.605,3419.6986882480282,8177.4,95.30582353665528
no01,2022/10/18 14:00:00,1400,28.540891177641164,0.23397435062736688,201998.01,4222.694620147311,9130.05,142.55173576081458
no01,2022/10/18 14:15:00,1415,28.40786804505256,0.39354348846175063,216614.80800000002,6477.413034724343,9355.3,176.20684615411204
no01,2022/10/18 14:30:00,1430,29.167555709565278,0.24977210553508164,210342.59350000002,4022.8791569121986,9515.05,125.44005697837048
no01,2022/10/18 14:45:00,1445,28.805940066449345,0.33059238524582535,211366.918,5415.519958165652,9363.15,155.27777317473766
no01,2022/10/18 15:00:00,1500,27.197797519912893,0.5114584454974742,223050.66350000002,6685.662278673414,9416.7,134.6004223032398
no01,2022/10/18 15:15:00,1515,27.26184653666478,0.3001959971306934,223832.96000000002,4784.994192406976,9592.7,145.7543354956875
no01,2022/10/18 15:30:00,1530,27.25591236255978,0.4046196505868007,220658.39900000003,5641.798272096455,9169.05,122.53913445787104
no01,2022/10/18 15:45:00,1545,27.602255525030245,0.31472701419639837,210441.055,4721.488755608984,8942.35,117.03003438164268
no01,2022/10/18 16:00:00,1600,24.950414085666708,0.3265874860358445,271318.611,5330.264478664713,10569.65,95.7107896903893
no01,2022/10/18 16:15:00,1615,24.890087648548185,0.5156199696879465,267933.31350000005,7404.305536809948,10599.4,161.64529068302642
no01,2022/10/18 16:30:00,1630,24.144589322306878,0.7453835800867425,262686.80350000004,9234.240535251787,10106.15,136.73573244150833
no01,2022/10/18 16:45:00,1645,25.023535297674737,0.807842246467124,270133.1285,10642.60281690341,10477.55,163.50840152243276
no01,2022/10/18 17:00:00,1700,24.39984830973648,0.7253261410123603,290037.86549999996,10969.163482087519,11084.3,147.36067460843336
no01,2022/10/18 17:15:00,1715,26.74994658415804,0.3989473068637167,270447.677,6942.849411162925,11115.65,187.6643910927443
no01,2022/10/18 17:30:00,1730,26.863654445822238,0.6474148725300285,253218.08649999998,7137.976028857924,10590.35,101.57199935332363
no01,2022/10/18 17:45:00,1745,26.007608763969596,0.7921617450370249,272493.977,10766.426930186892,11002.35,133.3528264259501
no01,2022/10/18 18:00:00,1800,26.090567054662813,0.6396199466053918,270643.799,7466.512362885719,11211.9,90.22539028805363
no01,2022/10/18 18:15:00,1815,27.231661363106717,0.6093705266923477,243195.7055,7215.087347218637,10293.7,125.91647189600273
no01,2022/10/18 18:30:00,1830,27.964543015627005,0.5276012623708206,215211.5355,6463.985069990309,9476.3,124.98551495020699
no01,2022/10/18 18:45:00,1845,28.727608374405413,0.3277461756148759,193469.605,4416.786679630699,8828.5,144.85800670057225
