route_id,speed_a,speed_b,ties_a,ties_b,common_count,union_count,overlap_ratio_vs_smaller,jaccard
311,20.0,20.0,3075,3075,3075,3075,1.0,1.0
311,20.0,22.5,3075,2640,0,5715,0.0,0.0
311,20.0,25.0,3075,4851,0,7926,0.0,0.0
311,20.0,27.5,3075,1749,0,4824,0.0,0.0
311,20.0,30.0,3075,15559,0,18634,0.0,0.0
311,20.0,32.5,3075,35693,0,38768,0.0,0.0
311,20.0,35.0,3075,64225,0,67300,0.0,0.0
311,20.0,37.5,3075,17061,0,20136,0.0,0.0
311,20.0,40.0,3075,26445,0,29520,0.0,0.0
311,20.0,42.5,3075,12654,0,15729,0.0,0.0
311,20.0,45.0,3075,14025,0,17100,0.0,0.0
311,20.0,47.5,3075,16433,0,19508,0.0,0.0
311,20.0,50.0,3075,21681,0,24756,0.0,0.0
311,22.5,22.5,2640,2640,2640,2640,1.0,1.0
311,22.5,25.0,2640,4851,0,7491,0.0,0.0
311,22.5,27.5,2640,1749,0,4389,0.0,0.0
311,22.5,30.0,2640,15559,0,18199,0.0,0.0
311,22.5,32.5,2640,35693,0,38333,0.0,0.0
311,22.5,35.0,2640,64225,1530,65335,0.5795454545454546,0.02341776995484809
311,22.5,37.5,2640,17061,0,19701,0.0,0.0
311,22.5,40.0,2640,26445,0,29085,0.0,0.0
311,22.5,42.5,2640,12654,0,15294,0.0,0.0
311,22.5,45.0,2640,14025,0,16665,0.0,0.0
311,22.5,47.5,2640,16433,0,19073,0.0,0.0
311,22.5,50.0,2640,21681,0,24321,0.0,0.0
311,25.0,25.0,4851,4851,4851,4851,1.0,1.0
311,25.0,27.5,4851,1749,1389,5211,0.7941680960548885,0.2665515256188831
311,25.0,30.0,4851,15559,4331,16079,0.8928056070913214,0.26935754711113874
311,25.0,32.5,4851,35693,4683,35861,0.9653679653679653,0.13058754635955494
311,25.0,35.0,4851,64225,4831,64245,0.9958771387342816,0.0751965133473422
311,25.0,37.5,4851,17061,0,21912,0.0,0.0
311,25.0,40.0,4851,26445,0,31296,0.0,0.0
311,25.0,42.5,4851,12654,0,17505,0.0,0.0
311,25.0,45.0,4851,14025,0,18876,0.0,0.0
311,25.0,47.5,4851,16433,0,21284,0.0,0.0
311,25.0,50.0,4851,21681,0,26532,0.0,0.0
311,27.5,27.5,1749,1749,1749,1749,1.0,1.0
311,27.5,30.0,1749,15559,1749,15559,1.0,0.11241082331769393
311,27.5,32.5,1749,35693,1749,35693,1.0,0.049001204718011934
311,27.5,35.0,1749,64225,1749,64225,1.0,0.027232386142467885
311,27.5,37.5,1749,17061,0,18810,0.0,0.0
311,27.5,40.0,1749,26445,0,28194,0.0,0.0
311,27.5,42.5,1749,12654,0,14403,0.0,0.0
311,27.5,45.0,1749,14025,0,15774,0.0,0.0
311,27.5,47.5,1749,16433,0,18182,0.0,0.0
311,27.5,50.0,1749,21681,0,23430,0.0,0.0
311,30.0,30.0,15559,15559,15559,15559,1.0,1.0
311,30.0,32.5,15559,35693,15559,35693,1.0,0.43591180343484714
311,30.0,35.0,15559,64225,15559,64225,1.0,0.2422576878162709
311,30.0,37.5,15559,17061,0,32620,0.0,0.0
311,30.0,40.0,15559,26445,0,42004,0.0,0.0
311,30.0,42.5,15559,12654,0,28213,0.0,0.0
311,30.0,45.0,15559,14025,0,29584,0.0,0.0
311,30.0,47.5,15559,16433,0,31992,0.0,0.0
311,30.0,50.0,15559,21681,0,37240,0.0,0.0
311,32.5,32.5,35693,35693,35693,35693,1.0,1.0
311,32.5,35.0,35693,64225,35693,64225,1.0,0.5557493188010899
311,32.5,37.5,35693,17061,0,52754,0.0,0.0
311,32.5,40.0,35693,26445,0,62138,0.0,0.0
311,32.5,42.5,35693,12654,0,48347,0.0,0.0
311,32.5,45.0,35693,14025,0,49718,0.0,0.0
311,32.5,47.5,35693,16433,0,52126,0.0,0.0
311,32.5,50.0,35693,21681,0,57374,0.0,0.0
311,35.0,35.0,64225,64225,64225,64225,1.0,1.0
311,35.0,37.5,64225,17061,0,81286,0.0,0.0
311,35.0,40.0,64225,26445,0,90670,0.0,0.0
311,35.0,42.5,64225,12654,0,76879,0.0,0.0
311,35.0,45.0,64225,14025,0,78250,0.0,0.0
311,35.0,47.5,64225,16433,0,80658,0.0,0.0
311,35.0,50.0,64225,21681,0,85906,0.0,0.0
311,37.5,37.5,17061,17061,17061,17061,1.0,1.0
311,37.5,40.0,17061,26445,15609,27897,0.9148936170212766,0.5595225293042263
311,37.5,42.5,17061,12654,0,29715,0.0,0.0
311,37.5,45.0,17061,14025,0,31086,0.0,0.0
311,37.5,47.5,17061,16433,0,33494,0.0,0.0
311,37.5,50.0,17061,21681,0,38742,0.0,0.0
311,40.0,40.0,26445,26445,26445,26445,1.0,1.0
311,40.0,42.5,26445,12654,0,39099,0.0,0.0
311,40.0,45.0,26445,14025,0,40470,0.0,0.0
311,40.0,47.5,26445,16433,0,42878,0.0,0.0
311,40.0,50.0,26445,21681,0,48126,0.0,0.0
311,42.5,42.5,12654,12654,12654,12654,1.0,1.0
311,42.5,45.0,12654,14025,8562,18117,0.676623992413466,0.47259480046365293
311,42.5,47.5,12654,16433,6876,22211,0.5433854907539118,0.3095763360497051
311,42.5,50.0,12654,21681,6198,28137,0.489805595068753,0.22027934747840922
311,45.0,45.0,14025,14025,14025,14025,1.0,1.0
311,45.0,47.5,14025,16433,11081,19377,0.7900891265597147,0.5718635495690767
311,45.0,50.0,14025,21681,9393,26313,0.6697326203208556,0.35697183901493557
311,47.5,47.5,16433,16433,16433,16433,1.0,1.0
311,47.5,50.0,16433,21681,13697,24417,0.8335057506237449,0.5609616250972683
311,50.0,50.0,21681,21681,21681,21681,1.0,1.0
