scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no01,2022/10/18 07:00:00,0700,27.855850925268168,0.3712188114001716,201132.72666666668,4156.105867258294,1556.1013277777777,27.79148531212195
no01,2022/10/18 07:15:00,0715,27.505986497871923,0.3226937303229973,243434.40777777776,4385.820143307496,1859.7539444444442,27.217630079205925
no01,2022/10/18 07:30:00,0730,25.79846702570064,0.7022836684442926,277503.30666666664,9164.24198578173,1987.063861111111,23.087732917928015
no01,2022/10/18 07:45:00,0745,26.173542827889612,0.6153316704712808,269485.9422222222,9412.802531017856,1957.8687055555556,31.179975537881802
no01,2022/10/18 08:00:00,0800,24.70265442104959,0.5574047622874023,309974.82,9176.99875539992,2125.8118055555556,29.94111027224395
no01,2022/10/18 08:15:00,0815,24.977748620003997,0.8701433402075776,309681.6188888889,12303.597381538402,2145.9150444444444,21.069364362734714
no01,2022/10/18 08:30:00,0830,24.67842039067982,0.4572721025150549,321080.7077777778,7644.017364589622,2200.374688888889,35.50082814468833
no01,2022/10/18 08:45:00,0845,24.970502846409854,0.8237007655767351,299624.7911111111,11620.773583933968,2075.9295944444443,30.037549830180126
no01,2022/10/18 09:00:00,0900,26.254262689641827,0.5809123601064449,260908.42111111112,7837.4532319504415,1901.6723499999998,25.52473447928386
no01,2022/10/18 09:15:00,0915,27.367964859287795,0.6834442318482324,223658.22944444444,6669.36908204391,1699.1703777777777,17.506310453983225
no01,2022/10/18 09:30:00,0930,27.00301820138098,0.9229362510956737,240989.40222222224,8008.584201792149,1805.8384777777778,25.024457840646637
no01,2022/10/18 09:45:00,0945,28.093512209960124,0.3823921655990709,223416.92555555556,3995.8686427818593,1743.2442888888888,24.90081186273651
no01,2022/10/18 10:00:00,1000,25.950113512465432,1.0637369886867325,255278.71166666664,10083.703305624465,1837.4562722222222,22.855592562326212
no01,2022/10/18 10:15:00,1015,25.34661787469599,1.1405446673143542,247477.97166666668,13003.594734802808,1738.6263277777778,21.947174855167532
no01,2022/10/18 10:30:00,1030,28.23726370186096,0.5420316514675482,211796.6888888889,5861.399073595967,1660.51595,21.567437966615916
no01,2022/10/18 10:45:00,1045,29.092837688691716,0.1856753334210418,201567.32166666666,1760.3836932871095,1628.8723222222222,9.734697017947775
no01,2022/10/18 11:00:00,1100,27.61361855312462,0.2688482157961672,226672.30055555556,3600.782131174008,1738.5062,20.43814716127366
no01,2022/10/18 11:15:00,1115,27.222976991880746,0.4590146083540036,235464.63166666668,6176.840575791488,1779.980638888889,28.773030629927508
no01,2022/10/18 11:30:00,1130,28.180148691938452,0.33439990534441216,208653.2861111111,4195.461854479173,1633.0259333333333,22.450634407988957
no01,2022/10/18 11:45:00,1145,28.638524409164095,0.24859369919489646,212694.0861111111,4203.126183739547,1691.83,26.059842529635713
no01,2022/10/18 12:00:00,1200,28.07440061238719,0.3962778456051786,220319.28722222222,5082.250041541704,1717.7164277777779,24.356448068724536
no01,2022/10/18 12:15:00,1215,28.288115469358043,0.4530236286480745,227601.46666666667,5051.898612396075,1787.9833833333332,25.050484750487627
no01,2022/10/18 12:30:00,1230,27.905748301847268,0.37774328287477016,214062.35166666668,5303.874904826655,1658.948388888889,29.054334604078466
no01,2022/10/18 12:45:00,1245,29.000756319168786,0.2607490158071432,212063.78055555554,4401.129454022495,1708.1941444444444,31.30565989268923
no01,2022/10/18 13:00:00,1300,28.697030821857407,0.356703111172348,219378.44944444444,5119.406257519998,1748.3580277777776,25.962537775073557
no01,2022/10/18 13:15:00,1315,28.996183789881837,0.3578141803468685,206297.11444444445,5267.1949555496185,1661.1952333333331,27.04502808509399
no01,2022/10/18 13:30:00,1330,28.378929617475837,0.2273566046162388,205034.58,4156.4137857603855,1616.2433944444444,32.59537795764496
no01,2022/10/18 13:45:00,1345,28.554786503982395,0.27282220786513817,185707.9388888889,3550.407409414055,1472.8596944444444,22.528139260945558
no01,2022/10/18 14:00:00,1400,28.52001691587185,0.2278615314183947,202328.55611111113,4190.982951125568,1602.7898444444445,30.3059874329309
no01,2022/10/18 14:15:00,1415,28.380568711501244,0.40556112018108564,216953.3361111111,6671.421228342436,1709.81955,37.96543722531987
no01,2022/10/18 14:30:00,1430,29.181456924030385,0.2600934910313049,210190.28944444444,4220.9718723737315,1703.6027833333333,26.684005613877886
no01,2022/10/18 14:45:00,1445,28.783204135178405,0.34141759944041644,211295.64944444445,5717.928833755093,1689.0373833333333,35.724512164277186
no01,2022/10/18 15:00:00,1500,27.173736981178457,0.5085058505019175,223507.81333333335,6634.9990307761145,1686.3632555555555,30.215763629587265
no01,2022/10/18 15:15:00,1515,27.25168731150454,0.28408534651092887,223517.97444444444,4249.933464892634,1691.8478166666666,27.514153313163977
no01,2022/10/18 15:30:00,1530,27.193775371700312,0.376884856134163,221596.89555555556,4666.809240484684,1673.5407,22.221509137955465
no01,2022/10/18 15:45:00,1545,27.60096607777783,0.3037320763249138,209972.165,3869.410030262632,1609.6032222222223,19.34369517851944
no01,2022/10/18 16:00:00,1600,24.94111059646145,0.3432033866083165,271476.4861111111,5593.07561396615,1880.4108444444444,24.001779566039104
no01,2022/10/18 16:15:00,1615,24.890542885225962,0.5170048861228234,267988.2477777778,7372.343278378567,1852.160411111111,35.4959139758017
no01,2022/10/18 16:30:00,1630,24.103189476651647,0.7758703764375604,262844.09222222224,9745.87377578451,1758.043222222222,29.186064643120684
no01,2022/10/18 16:45:00,1645,24.967872022131516,0.8245382636131311,271119.0627777778,10652.104197626482,1878.3556777777776,36.51965965981738
no01,2022/10/18 17:00:00,1700,24.357571220273282,0.7542992892968052,290905.8388888889,11246.635346914083,1966.1910944444446,30.071866117342637
no01,2022/10/18 17:15:00,1715,26.810648373248053,0.3675378603719018,269711.62944444444,6731.7707047389795,2008.3201055555555,42.721689612426964
no01,2022/10/18 17:30:00,1730,26.861695455520355,0.647353382431275,253054.9527777778,7181.743798888959,1887.0905888888888,23.243152236123972
