x1_s,x2_s,x3_s
0.0,56.4,68.4
0.0,56.4,69.6
0.0,56.4,70.8
0.0,56.4,72.0
0.0,56.4,73.2
0.0,56.4,74.4
0.0,56.4,75.6
0.0,56.4,76.8
0.0,56.4,78.0
0.0,56.4,79.2
0.0,56.4,80.4
0.0,56.4,81.6
0.0,56.4,82.8
0.0,56.4,84.0
0.0,56.4,85.2
0.0,56.4,86.4
0.0,57.6,51.6
0.0,57.6,52.8
0.0,57.6,54.0
0.0,57.6,55.2
0.0,57.6,56.4
0.0,57.6,57.6
0.0,57.6,58.8
0.0,57.6,60.0
0.0,57.6,61.2
0.0,57.6,62.4
0.0,57.6,63.6
0.0,57.6,64.8
0.0,57.6,66.0
0.0,57.6,67.2
0.0,57.6,68.4
0.0,57.6,69.6
0.0,57.6,70.8
0.0,57.6,72.0
0.0,57.6,73.2
0.0,57.6,74.4
0.0,57.6,75.6
0.0,57.6,76.8
0.0,57.6,78.0
0.0,57.6,79.2
0.0,57.6,80.4
0.0,57.6,81.6
0.0,57.6,82.8
0.0,57.6,84.0
0.0,57.6,85.2
0.0,57.6,86.4
0.0,57.6,87.6
0.0,58.8,52.8
0.0,58.8,54.0
0.0,58.8,55.2
0.0,58.8,56.4
0.0,58.8,57.6
0.0,58.8,58.8
0.0,58.8,60.0
0.0,58.8,61.2
0.0,58.8,62.4
0.0,58.8,63.6
0.0,58.8,64.8
0.0,58.8,66.0
0.0,58.8,67.2
0.0,58.8,68.4
0.0,58.8,69.6
0.0,58.8,70.8
0.0,58.8,72.0
0.0,58.8,73.2
0.0,58.8,74.4
0.0,58.8,75.6
0.0,58.8,76.8
0.0,58.8,78.0
0.0,58.8,79.2
0.0,58.8,80.4
0.0,58.8,81.6
0.0,58.8,82.8
0.0,58.8,84.0
0.0,58.8,85.2
0.0,58.8,86.4
0.0,58.8,87.6
0.0,58.8,88.8
0.0,60.0,54.0
0.0,60.0,55.2
0.0,60.0,56.4
0.0,60.0,57.6
0.0,60.0,58.8
0.0,60.0,60.0
0.0,60.0,61.2
0.0,60.0,62.4
0.0,60.0,63.6
0.0,60.0,64.8
0.0,60.0,66.0
0.0,60.0,67.2
0.0,60.0,68.4
0.0,60.0,69.6
0.0,60.0,70.8
0.0,60.0,72.0
0.0,60.0,73.2
0.0,60.0,74.4
0.0,60.0,75.6
0.0,60.0,76.8
0.0,60.0,78.0
0.0,60.0,79.2
0.0,60.0,80.4
0.0,60.0,81.6
0.0,60.0,82.8
0.0,60.0,84.0
0.0,60.0,85.2
0.0,60.0,86.4
0.0,60.0,87.6
0.0,60.0,88.8
0.0,60.0,90.0
0.0,61.2,85.2
0.0,61.2,86.4
0.0,61.2,87.6
0.0,61.2,88.8
0.0,61.2,90.0
0.0,61.2,91.2
0.0,62.4,86.4
0.0,62.4,87.6
0.0,62.4,88.8
0.0,62.4,90.0
0.0,62.4,91.2
0.0,62.4,92.4
0.0,63.6,87.6
0.0,63.6,88.8
0.0,63.6,90.0
0.0,63.6,91.2
0.0,63.6,92.4
0.0,63.6,93.6
0.0,64.8,88.8
0.0,64.8,90.0
0.0,64.8,91.2
0.0,64.8,92.4
0.0,64.8,93.6
0.0,64.8,94.8
0.0,66.0,90.0
0.0,66.0,91.2
0.0,66.0,92.4
0.0,66.0,93.6
0.0,66.0,94.8
0.0,66.0,96.0
0.0,67.2,91.2
0.0,67.2,92.4
0.0,67.2,93.6
0.0,67.2,94.8
0.0,67.2,96.0
0.0,67.2,97.2
0.0,68.4,92.4
0.0,68.4,93.6
0.0,68.4,94.8
0.0,68.4,96.0
0.0,68.4,97.2
0.0,68.4,98.4
0.0,69.6,93.6
0.0,69.6,94.8
0.0,69.6,96.0
0.0,69.6,97.2
0.0,69.6,98.4
0.0,69.6,99.6
0.0,70.8,94.8
0.0,70.8,96.0
0.0,70.8,97.2
0.0,70.8,98.4
0.0,70.8,99.6
0.0,70.8,100.8
0.0,72.0,96.0
0.0,72.0,97.2
0.0,72.0,98.4
0.0,72.0,99.6
0.0,72.0,100.8
0.0,72.0,102.0
0.0,73.2,96.0
0.0,73.2,97.2
0.0,73.2,98.4
0.0,73.2,99.6
0.0,73.2,100.8
0.0,73.2,102.0
0.0,74.4,96.0
0.0,74.4,97.2
0.0,74.4,98.4
0.0,74.4,99.6
0.0,74.4,100.8
0.0,74.4,102.0
0.0,75.6,96.0
0.0,75.6,97.2
0.0,75.6,98.4
0.0,75.6,99.6
0.0,75.6,100.8
0.0,75.6,102.0
0.0,76.8,96.0
0.0,76.8,97.2
0.0,76.8,98.4
0.0,76.8,99.6
0.0,76.8,100.8
0.0,76.8,102.0
0.0,78.0,96.0
0.0,78.0,97.2
0.0,78.0,98.4
0.0,78.0,99.6
0.0,78.0,100.8
0.0,78.0,102.0
0.0,79.2,96.0
0.0,79.2,97.2
0.0,79.2,98.4
0.0,79.2,99.6
0.0,79.2,100.8
0.0,79.2,102.0
0.0,80.4,96.0
0.0,80.4,97.2
0.0,80.4,98.4
0.0,80.4,99.6
0.0,80.4,100.8
0.0,80.4,102.0
0.0,81.6,96.0
0.0,81.6,97.2
0.0,81.6,98.4
0.0,81.6,99.6
0.0,81.6,100.8
0.0,81.6,102.0
0.0,82.8,96.0
0.0,82.8,97.2
0.0,82.8,98.4
0.0,82.8,99.6
0.0,82.8,100.8
0.0,82.8,102.0
0.0,84.0,96.0
0.0,84.0,97.2
0.0,84.0,98.4
0.0,84.0,99.6
0.0,84.0,100.8
0.0,84.0,102.0
0.0,85.2,96.0
0.0,85.2,97.2
0.0,85.2,98.4
0.0,85.2,99.6
0.0,85.2,100.8
0.0,85.2,102.0
0.0,86.4,96.0
0.0,86.4,97.2
0.0,86.4,98.4
0.0,86.4,99.6
0.0,86.4,100.8
0.0,86.4,102.0
0.0,87.6,96.0
0.0,87.6,97.2
0.0,87.6,98.4
0.0,87.6,99.6
0.0,87.6,100.8
0.0,87.6,102.0
0.0,88.8,96.0
0.0,88.8,97.2
0.0,88.8,98.4
0.0,88.8,99.6
0.0,88.8,100.8
0.0,88.8,102.0
0.0,90.0,96.0
0.0,90.0,97.2
0.0,90.0,98.4
0.0,90.0,99.6
0.0,90.0,100.8
0.0,90.0,102.0
1.2,49.2,43.2
1.2,49.2,44.4
1.2,49.2,45.6
1.2,49.2,46.8
1.2,49.2,48.0
1.2,49.2,49.2
1.2,49.2,50.4
1.2,49.2,51.6
1.2,49.2,52.8
1.2,49.2,54.0
1.2,49.2,55.2
1.2,49.2,56.4
1.2,49.2,57.6
1.2,49.2,58.8
1.2,49.2,60.0
1.2,49.2,61.2
1.2,49.2,62.4
1.2,49.2,63.6
1.2,49.2,64.8
1.2,49.2,66.0
1.2,49.2,67.2
1.2,49.2,68.4
1.2,49.2,69.6
1.2,49.2,70.8
1.2,49.2,72.0
1.2,49.2,73.2
1.2,49.2,74.4
1.2,49.2,75.6
1.2,49.2,76.8
1.2,49.2,78.0
1.2,49.2,79.2
1.2,50.4,44.4
1.2,50.4,45.6
1.2,50.4,46.8
1.2,50.4,48.0
1.2,50.4,49.2
1.2,50.4,50.4
1.2,50.4,51.6
1.2,50.4,52.8
1.2,50.4,54.0
1.2,50.4,55.2
1.2,50.4,56.4
1.2,50.4,57.6
1.2,50.4,58.8
1.2,50.4,60.0
1.2,50.4,61.2
1.2,50.4,62.4
1.2,50.4,63.6
1.2,50.4,64.8
1.2,50.4,66.0
1.2,50.4,67.2
1.2,50.4,68.4
1.2,50.4,69.6
1.2,50.4,70.8
1.2,50.4,72.0
1.2,50.4,73.2
1.2,50.4,74.4
1.2,50.4,75.6
1.2,50.4,76.8
1.2,50.4,78.0
1.2,50.4,79.2
1.2,50.4,80.4
1.2,51.6,45.6
1.2,51.6,46.8
1.2,51.6,48.0
1.2,51.6,49.2
1.2,51.6,50.4
1.2,51.6,51.6
1.2,51.6,52.8
1.2,51.6,54.0
1.2,51.6,55.2
1.2,51.6,56.4
1.2,51.6,57.6
1.2,51.6,58.8
1.2,51.6,60.0
1.2,51.6,61.2
1.2,51.6,62.4
1.2,51.6,63.6
1.2,51.6,64.8
1.2,51.6,66.0
1.2,51.6,67.2
1.2,51.6,68.4
1.2,51.6,69.6
1.2,51.6,70.8
1.2,51.6,72.0
1.2,51.6,73.2
1.2,51.6,74.4
1.2,51.6,75.6
1.2,51.6,76.8
1.2,51.6,78.0
1.2,51.6,79.2
1.2,51.6,80.4
1.2,51.6,81.6
1.2,52.8,46.8
1.2,52.8,48.0
1.2,52.8,49.2
1.2,52.8,50.4
1.2,52.8,51.6
1.2,52.8,52.8
1.2,52.8,54.0
1.2,52.8,55.2
1.2,52.8,56.4
1.2,52.8,57.6
1.2,52.8,58.8
1.2,52.8,60.0
1.2,52.8,61.2
1.2,52.8,62.4
1.2,52.8,63.6
1.2,52.8,64.8
1.2,52.8,66.0
1.2,52.8,67.2
1.2,52.8,68.4
1.2,52.8,69.6
1.2,52.8,70.8
1.2,52.8,72.0
1.2,52.8,73.2
1.2,52.8,74.4
1.2,52.8,75.6
1.2,52.8,76.8
1.2,52.8,78.0
1.2,52.8,79.2
1.2,52.8,80.4
1.2,52.8,81.6
1.2,52.8,82.8
1.2,54.0,48.0
1.2,54.0,49.2
1.2,54.0,50.4
1.2,54.0,51.6
1.2,54.0,52.8
1.2,54.0,54.0
1.2,54.0,55.2
1.2,54.0,56.4
1.2,54.0,57.6
1.2,54.0,58.8
1.2,54.0,60.0
1.2,54.0,61.2
1.2,54.0,62.4
1.2,54.0,63.6
1.2,54.0,64.8
1.2,54.0,66.0
1.2,54.0,67.2
1.2,54.0,68.4
1.2,54.0,69.6
1.2,54.0,70.8
1.2,54.0,72.0
1.2,54.0,73.2
1.2,54.0,74.4
1.2,54.0,75.6
1.2,54.0,76.8
1.2,54.0,78.0
1.2,54.0,79.2
1.2,54.0,80.4
1.2,54.0,81.6
1.2,54.0,82.8
1.2,54.0,84.0
1.2,55.2,49.2
1.2,55.2,50.4
1.2,55.2,51.6
1.2,55.2,52.8
1.2,55.2,54.0
1.2,55.2,55.2
1.2,55.2,56.4
1.2,55.2,57.6
1.2,55.2,58.8
1.2,55.2,60.0
1.2,55.2,61.2
1.2,55.2,62.4
1.2,55.2,63.6
1.2,55.2,64.8
1.2,55.2,66.0
1.2,55.2,67.2
1.2,55.2,68.4
1.2,55.2,69.6
1.2,55.2,70.8
1.2,55.2,72.0
1.2,55.2,73.2
1.2,55.2,74.4
1.2,55.2,75.6
1.2,55.2,76.8
1.2,55.2,78.0
1.2,55.2,79.2
1.2,55.2,80.4
1.2,55.2,81.6
1.2,55.2,82.8
1.2,55.2,84.0
1.2,55.2,85.2
1.2,56.4,50.4
1.2,56.4,51.6
1.2,56.4,52.8
1.2,56.4,54.0
1.2,56.4,55.2
1.2,56.4,56.4
1.2,56.4,57.6
1.2,56.4,58.8
1.2,56.4,60.0
1.2,56.4,61.2
1.2,56.4,62.4
1.2,56.4,63.6
1.2,56.4,64.8
1.2,56.4,66.0
1.2,56.4,67.2
1.2,56.4,68.4
1.2,56.4,69.6
1.2,56.4,70.8
1.2,56.4,72.0
1.2,56.4,73.2
1.2,56.4,74.4
1.2,56.4,75.6
1.2,56.4,76.8
1.2,56.4,78.0
1.2,56.4,79.2
1.2,56.4,80.4
1.2,56.4,81.6
1.2,56.4,82.8
1.2,56.4,84.0
1.2,56.4,85.2
1.2,56.4,86.4
1.2,57.6,51.6
1.2,57.6,52.8
1.2,57.6,54.0
1.2,57.6,55.2
1.2,57.6,56.4
1.2,57.6,57.6
1.2,57.6,58.8
1.2,57.6,60.0
1.2,57.6,61.2
1.2,57.6,62.4
1.2,57.6,63.6
1.2,57.6,64.8
1.2,57.6,66.0
1.2,57.6,67.2
1.2,57.6,68.4
1.2,57.6,69.6
1.2,57.6,70.8
1.2,57.6,72.0
1.2,57.6,73.2
1.2,57.6,74.4
1.2,57.6,75.6
1.2,57.6,76.8
1.2,57.6,78.0
1.2,57.6,79.2
1.2,57.6,80.4
1.2,57.6,81.6
1.2,57.6,82.8
1.2,57.6,84.0
1.2,57.6,85.2
1.2,57.6,86.4
1.2,57.6,87.6
1.2,58.8,52.8
1.2,58.8,54.0
1.2,58.8,55.2
1.2,58.8,56.4
1.2,58.8,57.6
1.2,58.8,58.8
1.2,58.8,60.0
1.2,58.8,61.2
1.2,58.8,62.4
1.2,58.8,63.6
1.2,58.8,64.8
1.2,58.8,66.0
1.2,58.8,67.2
1.2,58.8,68.4
1.2,58.8,69.6
1.2,58.8,70.8
1.2,58.8,72.0
1.2,58.8,73.2
1.2,58.8,74.4
1.2,58.8,75.6
1.2,58.8,76.8
1.2,58.8,78.0
1.2,58.8,79.2
1.2,58.8,80.4
1.2,58.8,81.6
1.2,58.8,82.8
1.2,58.8,84.0
1.2,58.8,85.2
1.2,58.8,86.4
1.2,58.8,87.6
1.2,58.8,88.8
1.2,60.0,54.0
1.2,60.0,55.2
1.2,60.0,56.4
1.2,60.0,57.6
1.2,60.0,58.8
1.2,60.0,60.0
1.2,60.0,61.2
1.2,60.0,62.4
1.2,60.0,63.6
1.2,60.0,64.8
1.2,60.0,66.0
1.2,60.0,67.2
1.2,60.0,68.4
1.2,60.0,69.6
1.2,60.0,70.8
1.2,60.0,72.0
1.2,60.0,73.2
1.2,60.0,74.4
1.2,60.0,75.6
1.2,60.0,76.8
1.2,60.0,78.0
1.2,60.0,79.2
1.2,60.0,80.4
1.2,60.0,81.6
1.2,60.0,82.8
1.2,60.0,84.0
1.2,60.0,85.2
1.2,60.0,86.4
1.2,60.0,87.6
1.2,60.0,88.8
1.2,60.0,90.0
1.2,61.2,55.2
1.2,61.2,56.4
1.2,61.2,57.6
1.2,61.2,58.8
1.2,61.2,60.0
1.2,61.2,61.2
1.2,61.2,62.4
1.2,61.2,63.6
